id_ville,nom_ville,id_pays
0,Montréal,2
1,Kitimat,2
2,Sharon,2
3,Toronto,2
4,New Hazelton,2
5,Ottawa,2
6,Kelowna,2
7,Caledon,2
8,Châteauguay,2
9,Melville,2
10,Victoria,2
11,Mississauga,2
12,Edmonton,2
13,Saint-Hubert,2
14,Vancouver,2
15,Barrie,2
16,Abbotsford,2
17,Dollard-Des Ormeaux,2
18,Dorval,2
19,Burnaby,2
20,Winnipeg,2
21,Calgary,2
22,Halifax,2
23,Delta,2
24,Ville de Québec,2
25,Surrey,2
26,Bella Coola,2
27,Moncton,2
28,Guelph,2
29,Bureau,2
30,Fredericton,2
31,Coquitlam,2
32,Saint-Eustache,2
33,Lévis,2
34,Concord,2
35,Markham,2
36,Langley,2
37,Québec,2
38,Sherbrooke,2
39,Cookshire,2
40,Kitchener,2
41,Waterloo,2
42,Thornhill,2
43,Burlington,2
44,Longueuil,2
45,Saint-Laurent,2
46,Richmond,2
47,Ajax,2
48,Dieppe,2
49,Langham,2
50,Kingston,2
51,Oakville,2
52,Cairo,2
53,Télétravail,2
54,Mont-Saint-Hilaire,2
55,North York,2
56,Metro Vancouver Regional District,2
57,Brampton,2
58,Dartmouth,2
59,London,2
60,Burnside,2
61,Scarborough,2
62,Gellatly,2
63,Richmond Hill,2
64,Beaumont,2
65,St. John's,2
66,Aldergrove,2
67,Corunna,2
68,Sainte-Anne-de-Bellevue,2
69,Carignan,2
70,La Prairie,2
71,Kirkland,2
72,Bas-Saint-Laurent,2
73,Laval,2
74,La Pocatiere,2
75,Sorel,2
76,Sainte-Thérèse,2
77,Province de Québec,2
78,Degelis,2
79,Joliette,2
80,Cochrane,2
81,Boisbriand,2
82,Sorel-Tracy,2
83,Val-d'Or,2
84,Sainte-Catherine,2
85,Saguenay,2
86,Bécancour,2
87,Kapuskasing,2
88,Thetford Mines,2
89,Varennes,2
90,Mont-Blanc,2
91,Saint-Nicolas,2
92,Mirabel,2
93,Drummondville,2
94,Rouyn-Noranda,2
95,Témiscaming,2
96,Rivière-du-Loup,2
97,Baie-Comeau,2
98,Cowansville,2
99,Saint-Bruno-de-Montarville,2
100,Repentigny,2
101,Saint-Charles-Borromée,2
102,Saint-Georges,2
103,Saint-Hyacinthe,2
104,Beauharnois,2
105,Nouvelle,2
106,Saint-Augustin-de-Desmaures,2
107,Saint-ludger-de-milot,2
108,La Sarre,2
109,Fermont,2
110,Rimbey,2
111,Peace River,2
112,Cambridge Bay,2
113,Windsor,2
114,Revelstoke,2
115,Whitehorse,2
116,Vernon,2
117,Yellowknife,2
118,Britt,2
119,Airdrie,2
120,Cambridge,2
121,Chipman,2
122,Etobicoke,2
123,Saskatoon,2
124,Fort McMurray,2
125,Carrot River,2
126,Stratton,2
127,Acton,2
128,West Vancouver,2
129,Milton,2
130,Regina,2
131,Greater Sudbury,2
132,Woodbridge,2
133,Nepean,2
134,North Vancouver,2
135,Cornwall,2
136,Sturgeon County,2
137,Oshawa,2
138,Georgetown,2
139,New Westminster,2
140,Hamilton,2
141,Petitcodiac,2
142,Mascouche,2
143,Nicolet,2
144,Saint-Paul-de-l'Île-aux-Noix,2
145,Sainte-Foy,2
146,Les Mechins,2
147,St. Albert,2
148,Oka,2
149,Jonquière,2
150,Saint-Constant,2
151,Radisson,2
152,Trois-Rivières,2
153,Lasalle,2
154,Sainte-Anne-des-Plaines,2
155,Rougemont,2
156,Beaconsfield,2
157,Port-Cartier,2
158,Victoriaville,2
159,Charlevoix,2
160,Palmarolle,2
161,Happy Valley-Goose Bay,2
162,Courtenay,2
163,Puvirnituq,2
164,Clara,2
165,Sept-Îles,2
166,Saint John,2
167,Port Moody,2
168,Prince George,2
169,Edmundston,2
170,Parksville,2
171,Moosomin,2
172,Gander,2
173,Glace Bay,2
174,Weyburn,2
175,Hanover,2
176,Sault-Sainte-Marie,2
177,Newmarket,2
178,Lethbridge,2
179,Pointe-Claire,2
180,Maple Ridge,2
181,Okotoks,2
182,Merritt,2
183,Charlesbourg,2
184,L'Ancienne-Lorette,2
185,Rapid Lake,2
186,Alma,2
187,Saint-Jérôme,2
188,Montérégie,2
